Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
105.944,80.411,6.864,3.16,74.81,920.8398389861608,926.3,120.5,104.3,145.9,920.2,8.68,18.77,1
105.449,81.343,6.968,3.16,74.83,901.6,896.8,113.9,106.48600513038112,146,882.3,8.85,18.77,1
106.282,81.294,6.968,3.2,74.82,911.6,927.8,116.9,104.6,146,909.4,8.82,18.75,2
105.796,80.722,6.968,3.29,74.82,918,934.6,116.3,105.9,146.3,896.5,8.81,18.75,2
106.083,82.074,10.972,2.94,75.61,900.7,916,118.4,103.1,145.2,880.7,8.77,18.8,3
106.173,81.293,6.968,3.23,74.81,907.3,925.6,116.6,103.5,146.2,916.8,8.81,18.75,2
106.114,81.97,11.128,2.96,75.66,900.5,917.5,116.6,103.6,145.7,880.7,8.84,18.73,4
105.449,81.162,6.968,3.1807387701328254,74.81,886.9,938.2,120.5,107.8,147.6,922.3,8.59,18.75,1
106.237,81.437,6.864,3.178709768779277,74.82,903.1,918.2,104.6,104.9,146.1,933.1,8.68,18.75,1
105.507,80.777,6.292,4.96,75.79,896.8,919.7,97.7,82.5,146.3,840.3,8.64,18.92,3
106.47397623249604,81.058,6.968,3.187023949448059,74.83,901.6,935.9,113.9,106.5308545,146.1,937.7,8.76,18.72,1
105.963,81.305,6.239999999999999,3.29,75.77,893.5,913.1,116.9,108.1,146.6,894.7,8.72,18.85,3
106.08,81.462,6.188,2.88,75.62,905.1,919.9,115.4,107.1,145.3,909.7,8.98,18.59,4
106.162,82.071,11.128,2.93,75.61,900.9,916.2,111.8,104.7,145.8,888.9,8.84,18.73,4
106.049,81.45,6.084,2.84,75.63,905.7,918.6,119.6,107.8,144.9,910.8,8.94,18.63,4
106.4624211931438,80.617,6.968,3.22,74.81,903.1,926.3,120.5,107.3,146,933.1,8.8,18.89,1
106.305,81.281,6.864,3.2,74.82,914.2,929.1,116.3,103.5,145.7,913,8.83,18.74,2
105.921,81.127,6.188,3.41,75.77,893.3,913.1,117.2,103.9,146.3,871.6,8.73,18.84,4
105.467,80.689,6.292,5.25,75.77,896.6,913.6,101.9,82.6,146.6,852.9,8.69,18.87,3
106.05,82.083,11.128,3.01,75.65,900.3,917.1,119.3,102.2,146.5,879.2,8.78,18.78,4
106.131,81.401,6.188,2.89,75.67,907.2,921.5,120.8,106.9,145.4,895.5,8.93,18.63,4
110.698,82.03,11.128,2.95,75.65,901.2,918.4,116.6,102.1,145.4,882.6,8.85,18.72,4
105.999,81.429,6.084,2.87,75.65,905.5,919.3,115.1,105.7,145,904.2,8.85,18.72,4
106.196,82.098,11.128,2.9,75.64,902.4,920.4,112.4,104.8,147.2,897.7,8.88,18.69,4
106.175,81.953,11.128,2.96,75.65,900.1,916.2,115.7,104.8,146.5,898,8.92,18.65,4
106.316,81.402,6.968,3.21,74.81,914.5,930,117.2,105.5,146.3,913.6,8.8,18.77,2
105.734,81.007,6.343999999999999,3.66,75.74,894.2,914.9,115.1,101.6,146.9,837.2,8.54,19.03,3
106.49273717804589,81.362,6.864,3.82,74.82,901.6,902.061429,104.6,106.4450570889321,148.1,926.5,8.82,18.72,1
106.028,82.13,10.972,2.96,75.62,901.1,916.6,112.1,103.4,148.4,878.3,8.79,18.78,4
106.154,81.357,6.084,2.86,75.62,902.4,919.5,117.2,107.7,145.8,917,9.01,18.56,4
105.823,81.202,6.239999999999999,3.36,75.77,891.3,911.8,116,106,146,875.4,8.74,18.82,3
105.794,81.16,6.188,3.41,75.74,892.6,917.1,115.4,105.2,146.8,887.2,8.76,18.81,3
105.63,80.692,6.968,3.57,74.81,923.6,941.1,112.7,96.7,146,885.2,8.67,18.89,2
106.099,82.048,11.128,2.92,75.64,901.1,916.9,112.7,104.2,146,902.9,8.92,18.64,4
105.968,81.286,6.292,3.34,75.75,896.5,915.5,115.7,106,145.8,882,8.72,18.85,3
105.924,81.194,6.292,3.33,75.74,891.5,913.2,122,108.2,147.3,879.5,8.76,18.81,3
105.449,80.617,7.124,3.22,74.81,885.7077704897721,926.3,120.5,93.1,147.6,937.7,8.8,18.73,1
106.319,81.389,6.968,3.19,74.81,885.9,902.9,119.3,103.9,146.2,931.1,8.82,18.75,1
106.283,81.426,7.124,3.22,74.82,885.9,901.6,117.2,105,148.5,915.9,8.79,18.77,2
106.229,81.28,6.864,3.22,74.81,915.3,929.7,123.2,103.7,145.7,915.7,8.79,18.78,1
106.278,81.33,7.02,3.25,74.8,917.3,934.3,117.5,104.6,146.9,916.7,8.83,18.74,2
106.25,81.344,6.968,3.28,74.82,911.6,926.5,116.6,102.8,145.8,904.6,8.76,18.81,2
106.053,81.509,6.136,2.83,75.64,904.2,919.7,117.8,108.1,146.7,891.9,8.87,18.7,4
105.916,81.258,6.239999999999999,3.28,75.74,891.1,915.1,118.4,106.9,147.1,903.6,8.81,18.76,3
106.47733601809936,81.437,7.124,3.189451507529756,74.82,903.1,896.8,127.3,106.40122447430213,148.1,922.3,8.59,18.75,1
106.46461662994312,81.471,6.968,3.16,74.82,886.9,904,113.9,104.3,147,882.3,8.83,18.73,1
106.04,81.006,6.968,3.13,74.82,920.1,937.4,127.3,111.8,145.9,925.9,8.9,18.66,2
105.973,81.26,6.292,3.43,75.72,896.5,912.9,118.7,103.5,145.4,864.6,8.71,18.86,3
105.917,81.152,6.292,3.25,75.73,891.1,910.5,116.9,107.3,146.7,911.5,8.85,18.71,3
